,event_timestamp,country_code,country_name,city_code,city_name,zip_code,lat,lon,cam_id,cam_name,people,storage_blob
0,2024-04-14 01:14:20.216944+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-13 19:14:20.216944-0600_frame.jpg
1,2024-04-14 01:32:41.359175+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2024-04-13 19:32:41.359175-0600_frame.jpg
2,2024-04-14 02:11:06.906063+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-13 20:11:06.906063-0600_frame.jpg
3,2024-04-14 02:45:35.383399+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-13 20:45:35.383399-0600_frame.jpg
4,2024-04-14 03:19:58.561536+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-13 21:19:58.561536-0600_frame.jpg
5,2024-04-14 03:54:06.324483+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-13 21:54:06.324483-0600_frame.jpg
6,2024-04-14 14:26:53.490732+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-14 08:26:53.490732-0600_frame.jpg
7,2024-04-14 15:01:12.962243+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-14 09:01:12.962243-0600_frame.jpg
8,2024-04-14 15:34:49.344206+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2024-04-14 09:34:49.344206-0600_frame.jpg
9,2024-04-14 16:09:02.089489+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 10:09:02.089489-0600_frame.jpg
10,2024-04-14 16:42:46.047151+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 10:42:46.047151-0600_frame.jpg
11,2024-04-14 17:16:43.641869+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 11:16:43.641869-0600_frame.jpg
12,2024-04-14 17:50:41.662144+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 11:50:41.662144-0600_frame.jpg
13,2024-04-14 18:24:36.255594+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-14 12:24:36.255594-0600_frame.jpg
14,2024-04-14 18:58:57.227847+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-14 12:58:57.227847-0600_frame.jpg
15,2024-04-14 19:33:47.250958+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2024-04-14 13:33:47.250958-0600_frame.jpg
16,2024-04-14 20:07:46.020269+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2024-04-14 14:07:46.020269-0600_frame.jpg
17,2024-04-14 20:42:12.913329+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-14 14:42:12.913329-0600_frame.jpg
18,2024-04-14 21:16:34.465547+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 15:16:34.465547-0600_frame.jpg
19,2024-04-14 21:49:45.001097+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 15:49:45.001097-0600_frame.jpg
20,2024-04-14 22:23:50.893407+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 16:23:50.893407-0600_frame.jpg
21,2024-04-14 22:57:28.835345+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-14 16:57:28.835345-0600_frame.jpg
22,2024-04-14 23:31:23.678972+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-14 17:31:23.678972-0600_frame.jpg
23,2024-04-15 00:05:30.134007+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-14 18:05:30.134007-0600_frame.jpg
24,2024-04-15 00:39:49.287086+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2024-04-14 18:39:49.287086-0600_frame.jpg
25,2024-04-15 01:13:52.640495+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-14 19:13:52.640495-0600_frame.jpg
26,2024-04-15 01:47:52.132451+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2024-04-14 19:47:52.132451-0600_frame.jpg
27,2024-04-15 02:21:43.314864+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2024-04-14 20:21:43.314864-0600_frame.jpg
28,2024-04-15 02:55:55.637099+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2024-04-14 20:55:55.637099-0600_frame.jpg
29,2024-04-15 03:30:08.083501+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-14 21:30:08.083501-0600_frame.jpg
30,2024-04-15 14:26:32.756241+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-15 08:26:32.756241-0600_frame.jpg
31,2024-04-15 15:00:43.667140+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-15 09:00:43.667140-0600_frame.jpg
32,2024-04-15 15:35:03.616180+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-15 09:35:03.616180-0600_frame.jpg
33,2024-04-15 16:08:53.150351+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2024-04-15 10:08:53.150351-0600_frame.jpg
34,2024-04-15 16:43:22.119021+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 10:43:22.119021-0600_frame.jpg
35,2024-04-15 17:18:03.916491+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 11:18:03.916491-0600_frame.jpg
36,2024-04-15 17:52:07.714518+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2024-04-15 11:52:07.714518-0600_frame.jpg
37,2024-04-15 18:26:14.814228+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-15 12:26:14.814228-0600_frame.jpg
38,2024-04-15 19:00:34.681496+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 13:00:34.681496-0600_frame.jpg
39,2024-04-15 19:34:14.346579+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-15 13:34:14.346579-0600_frame.jpg
40,2024-04-15 20:08:53.992362+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 14:08:53.992362-0600_frame.jpg
41,2024-04-15 20:42:44.255921+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-15 14:42:44.255921-0600_frame.jpg
42,2024-04-15 21:16:45.429560+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2024-04-15 15:16:45.429560-0600_frame.jpg
43,2024-04-15 21:50:41.631688+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 15:50:41.631688-0600_frame.jpg
44,2024-04-15 22:25:05.125046+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2024-04-15 16:25:05.125046-0600_frame.jpg
45,2024-04-15 22:59:16.220574+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 16:59:16.220574-0600_frame.jpg
46,2024-04-15 23:33:44.397285+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-15 17:33:44.397285-0600_frame.jpg
47,2024-04-16 00:08:30.867155+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 18:08:30.867155-0600_frame.jpg
48,2024-04-16 00:43:11.581633+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 18:43:11.581633-0600_frame.jpg
49,2024-04-16 01:16:58.090882+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2024-04-15 19:16:58.090882-0600_frame.jpg
50,2024-04-16 01:51:28.472967+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2024-04-15 19:51:28.472967-0600_frame.jpg
51,2024-04-16 02:25:48.657935+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2024-04-15 20:25:48.657935-0600_frame.jpg
52,2024-04-16 02:59:52.511128+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-15 20:59:52.511128-0600_frame.jpg
53,2024-04-16 03:33:35.772995+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2024-04-15 21:33:35.772995-0600_frame.jpg
54,2024-04-16 14:00:25.918380+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-16 08:00:25.918380-0600_frame.jpg
55,2024-04-16 14:33:52.372944+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2024-04-16 08:33:52.372944-0600_frame.jpg
56,2024-04-16 15:07:50.024935+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-16 09:07:50.024935-0600_frame.jpg
57,2024-04-16 15:42:03.677754+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2024-04-16 09:42:03.677754-0600_frame.jpg
