,event_timestamp,country_code,country_name,city_code,city_name,zip_code,lat,lon,cam_id,cam_name,cam_additional_location_description,add_id,add_name,add_type,people,views,females,males,mode_age,median_age,negative_emotion,positive_emotion,average_emotion_score,cars,weather,sport_event,social_event,extraordinary_event,storage_blob
23,2023-04-26 16:38:14.764151-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 16:38:14.415665-06:00_frame.jpg
24,2023-04-26 17:08:44.218160-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 17:08:43.859096-06:00_frame.jpg
25,2023-04-26 17:39:26.597748-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 17:39:26.277052-06:00_frame.jpg
26,2023-04-26 18:10:09.533004-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 18:10:09.148442-06:00_frame.jpg
27,2023-04-26 18:40:59.261265-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 18:40:58.930981-06:00_frame.jpg
28,2023-04-26 19:11:39.022663-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 19:11:38.663447-06:00_frame.jpg
29,2023-04-26 19:42:07.293067-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 19:42:06.928739-06:00_frame.jpg
30,2023-04-26 20:12:33.426103-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 20:12:33.093221-06:00_frame.jpg
31,2023-04-26 20:43:16.812296-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 20:43:16.418935-06:00_frame.jpg
32,2023-04-26 21:14:09.545378-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,0,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 21:14:09.197716-06:00_frame.jpg
33,2023-04-26 21:44:51.047774-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,0,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-26 21:44:50.760815-06:00_frame.jpg
34,2023-04-27 08:11:44.071819-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 08:11:43.603482-06:00_frame.jpg
35,2023-04-27 08:42:24.723592-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 08:42:24.320349-06:00_frame.jpg
36,2023-04-27 09:13:15.082098-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 09:13:14.752819-06:00_frame.jpg
37,2023-04-27 09:43:57.776315-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 09:43:57.408755-06:00_frame.jpg
38,2023-04-27 10:14:34.025020-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 10:14:33.698549-06:00_frame.jpg
39,2023-04-27 10:45:38.045395-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 10:45:37.704832-06:00_frame.jpg
40,2023-04-27 11:15:42.751380-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 11:15:42.317739-06:00_frame.jpg
41,2023-04-27 11:46:29.661664-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 11:46:29.317750-06:00_frame.jpg
42,2023-04-27 12:17:09.094890-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,0,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 12:17:08.764163-06:00_frame.jpg
43,2023-04-27 12:48:00.304984-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 12:47:59.911353-06:00_frame.jpg
44,2023-04-27 13:18:32.721979-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 13:18:32.409026-06:00_frame.jpg
45,2023-04-27 13:49:09.093930-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 13:49:08.762840-06:00_frame.jpg
46,2023-04-27 14:19:16.739933-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 14:19:16.355916-06:00_frame.jpg
47,2023-04-27 14:49:19.546662-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 14:49:19.215701-06:00_frame.jpg
48,2023-04-27 15:20:14.694390-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 15:20:14.378165-06:00_frame.jpg
49,2023-04-27 15:50:41.631688-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 15:50:41.332852-06:00_frame.jpg
50,2023-04-27 16:21:35.525975-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 16:21:35.211270-06:00_frame.jpg
51,2023-04-27 16:52:21.858141-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 16:52:21.539621-06:00_frame.jpg
52,2023-04-27 17:23:22.222579-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,0,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 17:23:21.816026-06:00_frame.jpg
53,2023-04-27 17:53:35.059718-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 17:53:34.698503-06:00_frame.jpg
54,2023-04-27 18:23:38.576214-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 18:23:38.257762-06:00_frame.jpg
55,2023-04-27 18:54:31.685276-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,3,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 18:54:31.288009-06:00_frame.jpg
56,2023-04-27 19:24:52.399926-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 19:24:52.063615-06:00_frame.jpg
57,2023-04-27 19:54:52.472290-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,5,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 19:54:52.172507-06:00_frame.jpg
58,2023-04-27 20:25:48.657935-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,4,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 20:25:48.295183-06:00_frame.jpg
59,2023-04-27 20:56:34.944798-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 20:56:34.629033-06:00_frame.jpg
60,2023-04-27 21:26:58.992605-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 21:26:58.679423-06:00_frame.jpg
61,2023-04-27 21:57:26.994716-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-27 21:57:26.588691-06:00_frame.jpg
62,2023-04-28 07:58:12.120848-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 07:58:11.512553-06:00_frame.jpg
63,2023-04-28 08:29:12.744616-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,2,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 08:29:12.454247-06:00_frame.jpg
64,2023-04-28 09:00:00.836418-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 09:00:00.223748-06:00_frame.jpg
65,2023-04-28 09:30:46.134772-06:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,,,,,1,,,,,,,,,,,,,,MX/cafe calaverita/2023-04-28 09:30:45.786770-06:00_frame.jpg
