,event_timestamp,country_code,country_name,city_code,city_name,zip_code,lat,lon,cam_id,cam_name,people,storage_blob
28,2024-04-15 02:55:55.637099+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-26 20:55:55.261195-06:00_frame.jpg
29,2024-04-15 03:30:08.083501+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-26 21:30:07.743185-06:00_frame.jpg
30,2024-04-15 14:26:32.756241+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-27 08:26:32.431119-06:00_frame.jpg
31,2024-04-15 15:00:43.667140+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-27 09:00:43.297244-06:00_frame.jpg
32,2024-04-15 15:35:03.616180+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-27 09:35:03.271271-06:00_frame.jpg
33,2024-04-15 16:08:53.150351+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-27 10:08:52.810190-06:00_frame.jpg
34,2024-04-15 16:43:22.119021+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 10:43:21.787213-06:00_frame.jpg
35,2024-04-15 17:18:03.916491+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 11:18:03.563584-06:00_frame.jpg
36,2024-04-15 17:52:07.714518+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2023-04-27 11:52:07.358198-06:00_frame.jpg
37,2024-04-15 18:26:14.814228+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-27 12:26:14.473165-06:00_frame.jpg
38,2024-04-15 19:00:34.681496+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 13:00:34.342906-06:00_frame.jpg
39,2024-04-15 19:34:14.346579+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-27 13:34:13.964635-06:00_frame.jpg
40,2024-04-15 20:08:53.992362+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 14:08:53.581705-06:00_frame.jpg
41,2024-04-15 20:42:44.255921+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,3,MX/cafe calaverita/2023-04-27 14:42:43.950413-06:00_frame.jpg
42,2024-04-15 21:16:45.429560+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,5,MX/cafe calaverita/2023-04-27 15:16:45.094564-06:00_frame.jpg
43,2024-04-15 21:50:41.631688+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 15:50:41.332852-06:00_frame.jpg
44,2024-04-15 22:25:05.125046+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2023-04-27 16:25:04.816651-06:00_frame.jpg
45,2024-04-15 22:59:16.220574+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 16:59:15.895107-06:00_frame.jpg
46,2024-04-15 23:33:44.397285+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,1,MX/cafe calaverita/2023-04-27 17:33:44.050216-06:00_frame.jpg
47,2024-04-16 00:08:30.867155+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 18:08:30.546069-06:00_frame.jpg
48,2024-04-16 00:43:11.581633+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,2,MX/cafe calaverita/2023-04-27 18:43:11.237229-06:00_frame.jpg
49,2024-04-16 01:16:58.090882+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,0,MX/cafe calaverita/2023-04-27 19:16:57.750475-06:00_frame.jpg
50,2024-04-16 01:51:28.472967+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,6,MX/cafe calaverita/2023-04-27 19:51:28.158129-06:00_frame.jpg
51,2024-04-16 02:25:48.657935+00:00,MX,Mexico,MX-CMX,Mexico City,9460.0,19.36487,-99.13421,1.0,cafe calaverita,4,MX/cafe calaverita/2023-04-27 20:25:48.295183-06:00_frame.jpg
